sep=,
Size,Average operations
4575,64200
4580,64003
4585,64119
4590,64056
4595,64280
4600,64077
4605,63272
4610,65340
4615,64521
4620,65032
4625,65410
4630,65443
4635,65110
4640,65416
4645,64712
4650,65035
4655,65125
4660,67692
4665,66165
4670,66209
4675,67566
4680,66366
4685,64739
4690,66029
4695,66517
4700,65245
4705,65414
4710,65010
4715,65290
4720,66499
4725,65734
4730,67730
4735,66042
4740,66579
4745,66816
4750,67262
4755,66880
4760,66844
4765,68400
4770,65963
4775,65917
4780,68764
4785,67516
4790,68319
4795,68712
4800,67869
4805,67106
4810,68754
4815,67105
4820,67297
4825,68218
4830,68236
4835,68978
4840,68034
4845,69750
4850,68127
4855,69414
4860,66996
4865,67456
4870,68057
4875,67785
4880,68858
4885,68362
4890,67828
4895,68279
4900,69625
4905,69288
4910,69588
4915,68920
4920,68373
4925,69607
4930,69228
4935,70330
4940,69770
4945,68997
4950,71441
4955,71972
4960,71665
4965,69249
4970,69312
4975,69748
4980,71024
4985,70228
4990,73157
4995,72764
5000,73173
5005,71967
5010,71498
5015,72545
5020,72204
5025,71774
5030,72057
5035,71163
5040,71235
5045,73058
5050,70948
5055,72004
5060,72008
5065,73388
5070,72510
5075,73181
5080,74306
5085,72180
5090,72138
5095,71942
5100,73710
5105,73125
5110,73023
5115,73199
5120,72907
5125,73860
5130,72936
5135,74702
5140,74563
5145,71899
5150,73743
5155,71382
5160,71032
5165,73752
5170,73968
5175,71953
5180,73657
5185,74801
5190,74040
5195,72876
5200,74175
5205,74480
5210,74455
5215,73795
5220,73087
5225,73742
5230,76828
5235,76974
5240,75423
5245,74841
5250,75549
5255,77508
5260,76098
5265,74638
5270,75557
5275,77314
5280,77264
5285,75269
5290,75389
5295,74928
5300,75434
5305,76162
5310,75972
5315,74391
5320,76865
5325,75399
5330,76417
5335,75856
5340,76673
5345,77334
5350,75555
5355,77064
5360,74947
5365,78088
5370,77334
5375,76103
5380,77661
5385,78377
5390,76017
5395,75318
5400,77440
5405,79218
5410,75629
5415,75257
5420,77342
5425,78016
5430,77297
5435,79107
5440,78862
5445,79573
5450,79703
5455,80939
5460,77123
5465,79260
5470,78213
5475,77764
5480,78325
5485,78035
5490,80284
5495,80248
5500,78270
5505,77672
5510,80467
5515,79248
5520,81256
5525,80384
5530,81289
5535,78557
5540,80523
5545,80128
5550,78406
5555,80314
5560,79752
5565,81586
5570,79257
5575,79263
5580,79985
5585,81501
5590,80014
5595,80293
5600,80036
5605,80268
5610,82404
5615,79561
5620,80075
5625,81195
5630,81221
5635,80631
5640,83580
5645,83490
5650,81129
5655,81156
5660,79652
5665,82398
5670,82749
5675,81665
5680,82269
5685,81563
5690,83929
5695,82919
5700,81139
5705,83193
5710,80416
5715,81359
5720,83324
5725,81371
5730,84361
5735,82924
5740,83579
5745,81597
5750,81529
5755,83958
5760,84074
5765,84714
5770,81754
5775,84606
5780,84435
5785,83420
5790,85339
5795,85256
5800,82227
5805,82709
5810,82277
5815,85727
5820,83784
5825,85228
5830,84313
5835,84088
5840,84236
5845,84446
5850,85823
5855,86230
5860,84754
5865,84235
5870,84422
5875,84589
5880,86833
5885,85158
5890,85448
5895,85946
5900,85430
5905,89925
5910,87502
5915,83914
5920,85567
5925,85665
5930,86946
5935,86079
5940,88428
5945,86960
5950,84726
5955,86508
5960,89075
5965,86959
5970,86856
5975,86466
5980,86401
5985,87857
5990,88459
5995,89073
6000,87031
6005,86170
6010,87814
6015,88644
6020,89508
6025,88320
6030,88777
6035,86538
6040,88595
6045,89414
6050,86686
6055,87784
6060,89471
6065,90340
6070,90391
6075,86627
6080,87702
6085,87473
6090,87840
6095,89816
6100,87575
6105,88490
6110,86717
6115,87847
6120,87842
6125,90167
6130,88648
6135,89338
6140,90584
6145,90558
6150,94426
6155,89270
6160,90618
6165,88438
6170,89705
6175,88778
6180,90413
6185,89992
6190,89580
6195,91275
6200,90057
6205,90848
6210,92253
6215,89496
6220,93178
6225,90663
6230,92806
6235,90046
6240,91728
6245,92398
6250,91582
6255,91784
6260,94192
6265,89015
6270,92286
6275,93865
6280,93264
6285,93160
6290,93378
6295,91920
6300,91127
6305,90991
6310,94484
6315,93376
6320,90221
6325,90692
6330,93052
6335,93390
6340,92820
6345,93161
6350,94118
6355,92112
6360,92112
6365,94659
6370,93614
6375,93773
6380,92814
6385,91789
6390,94411
6395,93407
6400,92930
6405,94013
6410,95613
6415,93944
6420,93996
6425,91688
6430,94265
6435,93929
6440,94096
6445,96856
6450,94802
6455,95993
6460,96036
6465,94894
6470,93902
6475,96996
6480,94600
6485,94810
6490,93216
6495,95174
6500,96271
6505,94333
6510,94590
6515,95125
6520,96755
6525,96774
6530,96819
6535,95553
6540,94452
6545,96554
6550,97132
6555,95959
6560,97782
6565,95963
6570,98250
6575,95331
6580,96656
6585,95913
6590,1.0098e+05
6595,96149
6600,98537
6605,96400
6610,99162
6615,1.0374e+05
6620,97897
6625,95338
6630,98375
6635,98177
6640,96983
6645,99544
6650,97107
6655,98143
6660,99299
6665,97722
6670,1.0171e+05
6675,97602
6680,98539
6685,98560
6690,96820
6695,99116
6700,98560
6705,97358
6710,1.0124e+05
6715,1.0031e+05
6720,1.0022e+05
6725,1.0103e+05
6730,1.0113e+05
6735,99786
6740,97065
6745,1.0173e+05
6750,99708
6755,98093
6760,1.0029e+05
6765,99845
6770,1.0049e+05
6775,1.0309e+05
6780,1.0016e+05
6785,98798
6790,98693
6795,1.0102e+05
6800,99813
6805,99109
6810,1.0177e+05
6815,1.0235e+05
6820,99694
6825,1.0153e+05
6830,1.0015e+05
6835,1.019e+05
6840,1.0017e+05
6845,1.0019e+05
6850,1.0179e+05
6855,1.0109e+05
6860,1.0146e+05
6865,1.0176e+05
6870,1.0267e+05
6875,1.0356e+05
6880,1.0036e+05
6885,1.0027e+05
6890,1.027e+05
6895,1.0439e+05
6900,1.0609e+05
6905,1.024e+05
6910,1.0251e+05
6915,1.0297e+05
6920,1.0459e+05
6925,1.0242e+05
6930,1.0046e+05
6935,1.0225e+05
6940,1.0066e+05
6945,1.007e+05
6950,1.0265e+05
6955,1.0316e+05
6960,1.0296e+05
6965,1.0553e+05
6970,1.0504e+05
6975,1.0326e+05
6980,1.0258e+05
6985,1.017e+05
6990,1.0417e+05
6995,1.0471e+05
7000,1.038e+05
7005,1.025e+05
7010,1.0525e+05
7015,1.0583e+05
7020,1.0447e+05
7025,1.0133e+05
7030,1.0317e+05
7035,1.0533e+05
7040,1.0442e+05
7045,1.0533e+05
7050,1.0464e+05
7055,1.0983e+05
7060,1.0572e+05
7065,1.0497e+05
7070,1.0618e+05
7075,1.1067e+05
7080,1.0666e+05
7085,1.0225e+05
7090,1.0446e+05
7095,1.0484e+05
7100,1.0269e+05
7105,1.0509e+05
7110,1.0672e+05
7115,1.0592e+05
7120,1.0831e+05
7125,1.0474e+05
7130,1.0649e+05
7135,1.0764e+05
7140,1.0766e+05
7145,1.0687e+05
7150,1.0677e+05
7155,1.0803e+05
7160,1.0415e+05
7165,1.0718e+05
7170,1.0548e+05
7175,1.0646e+05
7180,1.0678e+05
7185,1.0738e+05
7190,1.0769e+05
7195,1.074e+05
7200,1.0827e+05
7205,1.0625e+05
